Kanton;Nr. Kanton;PLZ;Gemeinde;Standort;Adresse;Platzart*;Platz Status**;Anzahl Stellplätze;E-Koordinate;N-Koordinate;Bemerkungen;Commentaires;Commenti
Aargau;19;5001;Aarau;Schachen;Schachen;2;1;15;2644720;1248660;;;
Aargau;19;5210;Windisch;Heumatten;Heumatten;2;1;12;2658680;1257780;;;
Aargau;19;5430;Würenlos;Chlosterschür;Chlosterschürstrasse;2;1;15;2667920;1255500;;;
Aargau;19;4800;Zofingen;Trinermatte;Eisengrabenweg 24;2;1;10;2638000;1236200;;;
Basel-Landschaft;13;4410;Liestal;Gräubern;Waldstrasse 50 / Galmsweg;2;1;10;2622980;1257910;;;
Basel-Landschaft;13;4410;Wittinsburg;Holchen;Hauensteinstrasse Parz. Nr. 1301;2;1;10;2630930;1254260;;;
Basel-Stadt;12;4001;Basel;Friedrich-Miescher-Strasse;Friedrich-Miescher-Strasse;2;1;10;2609284;1269032;;;
Bern;2;3007;Bern;Wölflistrasse;Wölflistrasse, 3006 Bern;2;2;20;2602820;1201710;;;
Bern;2;2501;Biel/Bienne;Allmendweg/Zürichstrasse;Allmendweg/Zürichstrasse;2;2;20;2589240;1223530;;;
Bern;2;3303;Jegenstorf;Jegenstorf;Mattstettenstrasse 50;2;1;20;2605280;1209940;;;
Bern;2;3604;Thun;Allmendingen, Amerika;Allmendingenstrasse 81;2;1;15;2611410;1175980;;;
Graubünden;18;7402;Bonaduz;Nulez;Nulez;2;1;9;2750380;1186540;;;
Jura;26;2900;Courtedoux/Porrentruy;Mavalau;Mavalau;2;2;10;2571150;1250260;;;
Luzern;3;6002;Luzern;Reusseggstrasse;Ibach / Reusseggstrasse;2;1;6;2664690;1213130;;;
Luzern;3;6023;Rothenburg;Rothenburg Station;Rothenburg Station;2;2;20;2661365;1215852;;;
Neuchâtel;24;2000;Boudry;Perreux;Perreux;2;2;20;2552526;1199356;;;
Solothurn;11;2540;Grenchen;Grenchen;Archstrasse 67;2;1;7;2598190;1225120;;;
Thurgau;20;8570;Weinfelden;Güttingersreuti;Mühlfangstrasse, Güttingersreuti;2;2;5;2726970;1269060;;;
Ticino;21;6500;Bellinzona;Seghezzone;Via del Piano, 6512 Giubiasco;2;2;15;2720320;1114750;;;
Zug;9;6300;Cham;Oberwilerwald;Knonauerstrasse;2;1;15;2677820;1229700;;;
